Entity;Code;Year;GDP per capita growth (annual %)
Lebanon;LBN;2007;9,136659622
Lebanon;LBN;2008;9,12869072
Lebanon;LBN;2009;9,126381874
Lebanon;LBN;2010;4,922354221
Lebanon;LBN;2011;-3,95996213
Lebanon;LBN;2012;-3,673752546
Lebanon;LBN;2013;-2,779563904
Lebanon;LBN;2014;-3,24138689
Lebanon;LBN;2015;-3,600572109
Lebanon;LBN;2016;-1,16541779
Lebanon;LBN;2017;-0,771117568
Lebanon;LBN;2018;-2,275891066
Lebanon;LBN;2019;-7,107153893
Lebanon;LBN;2020;-21,11600494
Russia;RUS;1990;-3,162836552
Russia;RUS;1991;-5,318762302
Russia;RUS;1992;-14,61392021
Russia;RUS;1993;-8,619681358
Russia;RUS;1994;-12,53979015
Russia;RUS;1995;-4,122774601
Russia;RUS;1996;-3,614977837
Russia;RUS;1997;1,567710757
Russia;RUS;1998;-5,143116474
Russia;RUS;1999;6,729496002
Russia;RUS;2000;10,46371841
Russia;RUS;2001;5,546717167
Russia;RUS;2002;5,182746887
Russia;RUS;2003;7,787965298
Russia;RUS;2004;7,632492542
Russia;RUS;2005;6,806606293
Russia;RUS;2006;8,554944992
Russia;RUS;2007;8,685760498
Russia;RUS;2008;5,246213913
Russia;RUS;2009;-7,827749252
Russia;RUS;2010;4,453094482
Russia;RUS;2011;4,218725681
Russia;RUS;2012;3,849155664
Russia;RUS;2013;1,538963795
Russia;RUS;2014;-1,045257449
Russia;RUS;2015;-2,183888435
Russia;RUS;2016;0,010248462
Russia;RUS;2017;1,709389925
Russia;RUS;2018;2,81552577
Russia;RUS;2019;2,078811407
Russia;RUS;2020;-2,771565437
Spain;ESP;1961;10,80448723
Spain;ESP;1962;8,946470261
Spain;ESP;1963;8,639492989
Spain;ESP;1964;4,267245293
Spain;ESP;1965;5,105632305
Spain;ESP;1966;6,153434753
Spain;ESP;1967;3,064126492
Spain;ESP;1968;5,212172508
Spain;ESP;1969;7,839083195
Spain;ESP;1970;3,138762951
Spain;ESP;1971;3,395926952
Spain;ESP;1972;6,962193012
Spain;ESP;1973;6,604025841
Spain;ESP;1974;4,471068382
Spain;ESP;1975;-0,539096653
Spain;ESP;1976;2,217772484
Spain;ESP;1977;1,785657167
Spain;ESP;1978;0,490728408
Spain;ESP;1979;-0,836528242
Spain;ESP;1980;1,391315579
Spain;ESP;1981;-0,8398875
Spain;ESP;1982;0,640409112
Spain;ESP;1983;1,275514483
Spain;ESP;1984;1,362897277
Spain;ESP;1985;1,951329112
Spain;ESP;1986;2,945279598
Spain;ESP;1987;5,273762703
Spain;ESP;1988;4,871692181
Spain;ESP;1989;4,662815094
Spain;ESP;1990;3,67576766
Spain;ESP;1991;2,285324812
Spain;ESP;1992;0,436115235
Spain;ESP;1993;-1,543358326
Spain;ESP;1994;1,896906972
Spain;ESP;1995;2,304956913
Spain;ESP;1996;2,233816385
Spain;ESP;1997;3,268851995
Spain;ESP;1998;3,961902142
Spain;ESP;1999;4,067824364
Spain;ESP;2000;4,776451588
Spain;ESP;2001;3,214081049
Spain;ESP;2002;1,29005003
Spain;ESP;2003;1,136253238
Spain;ESP;2004;1,358709335
Spain;ESP;2005;1,915695786
Spain;ESP;2006;2,35781312
Spain;ESP;2007;1,704522014
Spain;ESP;2008;-0,709567904
Spain;ESP;2009;-4,611871719
Spain;ESP;2010;-0,297088593
Spain;ESP;2011;-1,166192651
Spain;ESP;2012;-3,022425413
Spain;ESP;2013;-1,111898899
Spain;ESP;2014;1,687449694
Spain;ESP;2015;3,915768385
Spain;ESP;2016;2,944348574
Spain;ESP;2017;2,732360601
Spain;ESP;2018;1,841757894
Spain;ESP;2019;1,355133057
Spain;ESP;2020;-11,25326633
Syria;SYR;1961;7,350286961
Syria;SYR;1962;20,59989738
Syria;SYR;1963;-11,54141426
Syria;SYR;1964;5,789576054
Syria;SYR;1965;-0,990496218
Syria;SYR;1966;-10,65398502
Syria;SYR;1967;4,722671986
Syria;SYR;1968;0,318865597
Syria;SYR;1969;14,83667183
Syria;SYR;1970;-5,067278862
Syria;SYR;1971;5,302623749
Syria;SYR;1972;21,42365837
Syria;SYR;1973;-13,49384117
Syria;SYR;1974;21,55856514
Syria;SYR;1975;12,45244694
Syria;SYR;1976;8,525289536
Syria;SYR;1977;-5,0400424
Syria;SYR;1978;6,305686474
Syria;SYR;1979;-2,495399714
Syria;SYR;1980;10,59642124
Syria;SYR;1981;4,004541397
Syria;SYR;1982;-0,826903164
Syria;SYR;1983;-1,268759727
Syria;SYR;1984;-10,78985786
Syria;SYR;1985;5,699305058
Syria;SYR;1986;-10,92773914
Syria;SYR;1987;-1,509148479
Syria;SYR;1988;14,40390015
Syria;SYR;1989;-16,23044205
Syria;SYR;1990;0,691182792
Syria;SYR;1991;4,564426422
Syria;SYR;1992;9,783730507
Syria;SYR;1993;3,197584867
Syria;SYR;1994;4,251039982
Syria;SYR;1995;4,07959795
Syria;SYR;1996;6,783646107
Syria;SYR;1997;2,10908103
Syria;SYR;1998;3,880941391
Syria;SYR;1999;-6,049257278
Syria;SYR;2000;-1,758944273
Syria;SYR;2001;-1,096464515
Syria;SYR;2002;2,019453287
Syria;SYR;2003;5,169416428
Syria;SYR;2004;4,428762913
Syria;SYR;2005;3,129768372
Syria;SYR;2006;1,198692799
Syria;SYR;2007;1,320714593
Syria;SYR;2008;0,503795624
Syria;SYR;2009;3,205860615
Syria;SYR;2010;4,420452595
Syria;SYR;2011;4,2195611
Syria;SYR;2012;-24,02183533
Syria;SYR;2013;-23,06127167
Syria;SYR;2014;-6,150762558
Syria;SYR;2015;0,649743497
Syria;SYR;2016;-2,7567904
Syria;SYR;2017;1,4204669
Syria;SYR;2018;2,377678871
Syria;SYR;2019;2,987632751
Turkey;TUR;1961;-1,268241167
Turkey;TUR;1962;3,059924841
Turkey;TUR;1963;6,486465454
Turkey;TUR;1964;2,973251343
Turkey;TUR;1965;0,404279768
Turkey;TUR;1966;8,602306366
Turkey;TUR;1967;2,280141115
Turkey;TUR;1968;4,278524876
Turkey;TUR;1969;1,639443159
Turkey;TUR;1970;0,803637862
Turkey;TUR;1971;3,071476221
Turkey;TUR;1972;4,881130695
Turkey;TUR;1973;0,82337302
Turkey;TUR;1974;3,12333107
Turkey;TUR;1975;4,699300766
Turkey;TUR;1976;7,953686237
Turkey;TUR;1977;1,09563458
Turkey;TUR;1978;-0,746581972
Turkey;TUR;1979;-2,829315662
Turkey;TUR;1980;-4,625580311
Turkey;TUR;1981;2,496908665
Turkey;TUR;1982;1,229841471
Turkey;TUR;1983;2,633970499
Turkey;TUR;1984;4,403882027
Turkey;TUR;1985;2,077816725
Turkey;TUR;1986;4,888763905
Turkey;TUR;1987;7,40217638
Turkey;TUR;1988;0,447775662
Turkey;TUR;1989;-1,486309052
Turkey;TUR;1990;7,383071423
Turkey;TUR;1991;-0,967257679
Turkey;TUR;1992;3,324226379
